ts_code,symbol,name,area,industry,fullname,market,exchange,list_status,list_date
688332.SH,688332,中科蓝讯,深圳,半导体,深圳市中科蓝讯科技股份有限公司,科创板,SSE,L,2022-07-15
688333.SH,688333,铂力特,陕西,机械基件,西安铂力特增材技术股份有限公司,科创板,SSE,L,2019-07-22
688334.SH,688334,西高院,陕西,电气设备,西安高压电器研究院股份有限公司,科创板,SSE,L,2023-06-19
688335.SH,688335,复洁环保,上海,环境保护,上海复洁环保科技股份有限公司,科创板,SSE,L,2020-08-17
688336.SH,688336,三生国健,上海,生物制药,三生国健药业(上海)股份有限公司,科创板,SSE,L,2020-07-22
688337.SH,688337,普源精电,江苏,电器仪表,普源精电科技股份有限公司,科创板,SSE,L,2022-04-08
688338.SH,688338,赛科希德,北京,医疗保健,北京赛科希德科技股份有限公司,科创板,SSE,L,2020-08-06
688339.SH,688339,亿华通-U,北京,汽车配件,北京亿华通科技股份有限公司,科创板,SSE,L,2020-08-10
688343.SH,688343,云天励飞-U,深圳,软件服务,深圳云天励飞技术股份有限公司,科创板,SSE,L,2023-04-04
688345.SH,688345,博力威,广东,电气设备,广东博力威科技股份有限公司,科创板,SSE,L,2021-06-11
688347.SH,688347,华虹公司,上海,半导体,华虹半导体有限公司,科创板,SSE,L,2023-08-07
688348.SH,688348,昱能科技,浙江,电气设备,昱能科技股份有限公司,科创板,SSE,L,2022-06-08
688349.SH,688349,三一重能,北京,电气设备,三一重能股份有限公司,科创板,SSE,L,2022-06-22
688350.SH,688350,富淼科技,江苏,化工原料,江苏富淼科技股份有限公司,科创板,SSE,L,2021-01-28
688351.SH,688351,微电生理-U,上海,医疗保健,上海微创电生理医疗科技股份有限公司,科创板,SSE,L,2022-08-31
688352.SH,688352,颀中科技,安徽,半导体,合肥颀中科技股份有限公司,科创板,SSE,L,2023-04-20
688353.SH,688353,华盛锂电,江苏,化工原料,江苏华盛锂电材料股份有限公司,科创板,SSE,L,2022-07-13
688355.SH,688355,明志科技,江苏,机械基件,苏州明志科技股份有限公司,科创板,SSE,L,2021-05-12
688356.SH,688356,键凯科技,北京,化学制药,北京键凯科技股份有限公司,科创板,SSE,L,2020-08-26
688357.SH,688357,建龙微纳,河南,化工原料,洛阳建龙微纳新材料股份有限公司,科创板,SSE,L,2019-12-04
688358.SH,688358,祥生医疗,江苏,医疗保健,无锡祥生医疗科技股份有限公司,科创板,SSE,L,2019-12-03
688359.SH,688359,三孚新科,广东,化工原料,广州三孚新材料科技股份有限公司,科创板,SSE,L,2021-05-21
688360.SH,688360,德马科技,浙江,机械基件,德马科技集团股份有限公司,科创板,SSE,L,2020-06-02
688361.SH,688361,中科飞测,深圳,半导体,深圳中科飞测科技股份有限公司,科创板,SSE,L,2023-05-19
688362.SH,688362,甬矽电子,浙江,半导体,甬矽电子(宁波)股份有限公司,科创板,SSE,L,2022-11-16
688363.SH,688363,华熙生物,山东,医疗保健,华熙生物科技股份有限公司,科创板,SSE,L,2019-11-06
688365.SH,688365,光云科技,浙江,软件服务,杭州光云科技股份有限公司,科创板,SSE,L,2020-04-29
688366.SH,688366,昊海生科,上海,医疗保健,上海昊海生物科技股份有限公司,科创板,SSE,L,2019-10-30
688367.SH,688367,工大高科,安徽,运输设备,合肥工大高科信息科技股份有限公司,科创板,SSE,L,2021-06-28
688368.SH,688368,晶丰明源,上海,半导体,上海晶丰明源半导体股份有限公司,科创板,SSE,L,2019-10-14
688369.SH,688369,致远互联,北京,软件服务,北京致远互联软件股份有限公司,科创板,SSE,L,2019-10-31
688370.SH,688370,丛麟科技,上海,环境保护,上海丛麟环保科技股份有限公司,科创板,SSE,L,2022-08-25
688371.SH,688371,菲沃泰,江苏,元器件,江苏菲沃泰纳米科技股份有限公司,科创板,SSE,L,2022-08-02
688372.SH,688372,伟测科技,上海,半导体,上海伟测半导体科技股份有限公司,科创板,SSE,L,2022-10-26
688373.SH,688373,盟科药业-U,上海,化学制药,上海盟科药业股份有限公司,科创板,SSE,L,2022-08-05
688375.SH,688375,国博电子,江苏,元器件,南京国博电子股份有限公司,科创板,SSE,L,2022-07-22
688376.SH,688376,美埃科技,江苏,专用机械,美埃(中国)环境科技股份有限公司,科创板,SSE,L,2022-11-18
688377.SH,688377,迪威尔,江苏,专用机械,南京迪威尔高端制造股份有限公司,科创板,SSE,L,2020-07-08
688378.SH,688378,奥来德,吉林,专用机械,吉林奥来德光电材料股份有限公司,科创板,SSE,L,2020-09-03
688379.SH,688379,华光新材,浙江,机械基件,杭州华光焊接新材料股份有限公司,科创板,SSE,L,2020-08-19
688380.SH,688380,中微半导,深圳,半导体,中微半导体(深圳)股份有限公司,科创板,SSE,L,2022-08-05
688381.SH,688381,帝奥微,江苏,半导体,江苏帝奥微电子股份有限公司,科创板,SSE,L,2022-08-23
688382.SH,688382,益方生物-U,上海,生物制药,益方生物科技(上海)股份有限公司,科创板,SSE,L,2022-07-25
688383.SH,688383,新益昌,深圳,专用机械,深圳新益昌科技股份有限公司,科创板,SSE,L,2021-04-28
688385.SH,688385,复旦微电,上海,半导体,上海复旦微电子集团股份有限公司,科创板,SSE,L,2021-08-04
688386.SH,688386,泛亚微透,江苏,化工原料,江苏泛亚微透科技股份有限公司,科创板,SSE,L,2020-10-16
688387.SH,688387,信科移动-U,湖北,通信设备,中信科移动通信技术股份有限公司,科创板,SSE,L,2022-09-26
688388.SH,688388,嘉元科技,广东,电气设备,广东嘉元科技股份有限公司,科创板,SSE,L,2019-07-22
688389.SH,688389,普门科技,深圳,医疗保健,深圳普门科技股份有限公司,科创板,SSE,L,2019-11-05
688390.SH,688390,固德威,江苏,电气设备,固德威技术股份有限公司,科创板,SSE,L,2020-09-04
